Заголовок;Анонс;Дата публикации;Ссылка
Внимание! Роспотребнадзор информирует!;В связи с осложнением эпидемиологической ситуации по коронавирусной инфекции в мире, угрозой ее распространения на территории Российской Федерации Управление Роспотребнадзора по Самарской области информирует о правилах профилактики новой коронавирусной инфекции.;17.03.2020;https://www.samgups.ru/news/vnimanie_rospotrebnadzor_informiruet2020/
Обращение ректора СамГУПС И.К. Андрончева к студентам и абитуриентам;Самарский государственный университет путей сообщения объявляет набор студентов для обучения в 2020 году. Наш вуз – особенный, он готовит специалистов для транспортной отрасли страны.;21.04.2020;https://www.samgups.ru/news/obrashchenie_rektora_samgups_i_k_androncheva_k_studentam_i_abiturientam/
Обращение ректора СамГУПС И.К. Андрончева к студентам КНР;СамГУПС приглашает китайских студентов продолжить обучение в самарском вузе.;15.04.2020;https://www.samgups.ru/news/obrashchenie_rektora_samgups_i_k_androncheva_k_studentam_knr/
О мерах по обеспечению санитарно-эпидемиологического благополучия работников СамГУПС;В целях реализации Указа Президента Российской Федерации от 20.04.2020 г. № 294 «О продлении действия мер по обеспечению санитарно-эпидемиологического благополучия населения на территории Российской Федерации в связи с распространением новой коронавирусной инфекции (COVID-19)» и Министерства науки и высшего образования Российской Федерации от 29.04.2020 г. № 634 «О внесении изменений в приказ Министерства науки и высшего образования Российской Федерации от 2 апреля 2020 г. № 545 в образовательных учреждениях, подведомственных Федеральному агентству железнодорожного транспорта, в период 06.05.2020 г. по 08.05.2020 г. обеспечивается реализация образовательных программ с использованием электронных средств обучения и дистанционных образовательных технологий.;30.04.2020;https://www.samgups.ru/news/o_merakh_po_obespecheniyu_sanitarno_epidemiologicheskogo2020_blagopoluchiya_rabotnikov_samgups/
В СамГУПС состоялось первое дистанционное заседание Учёного совета;Вчера, 29 апреля, впервые в истории университета прошло дистанционное заседание Ученого совета с использованием новой Автоматизированной информационной системы (АИС) «Выборы».;30.04.2020;https://www.samgups.ru/news/v_samgups_sostoyalos_pervoe_distantsionnoe_zasedanie_uchy2020enogo_soveta/
«Дни студенческой науки»: олимпиада по английскому языку;Сегодня в СамГУПС на кафедре «Лингвистика» в рамках конференции обучающихся «Дни студенческой науки» состоится онлайн олимпиада по английскому языку.;30.04.2020;https://www.samgups.ru/news/dni_studencheskoy_nauki_olimpiada_po_angliyskomu_yazyku2020/
Уважаемые коллеги! Наступает 1 Мая - День Весны и труда.;Этот праздник уже 130 лет олицетворяет солидарность трудящихся, символизирует единство и сплочённость всех созидательных сил, объединённых общим стремлением к миру, стабильности, благополучию и счастью.;29.04.2020;https://www.samgups.ru/news/uvazhaemye_kollegi_nastupaet_1_maya_den_vesny_i_truda_2020/
Отзывы студентов СамГУПС о конференции «Дни студенческой науки»;Участники онлайн конференции поделились своими впечатлениями о работе секции «Актуальные проблемы культуры речи»;29.04.2020;https://www.samgups.ru/news/otzyvy_studentov_samgups_o_konferentsii_dni_studencheskoy_2020nauki/
Дни студенческой науки: секция «Научные исследования учащихся школ»;Секция «Научные исследования учащихся школ» полностью прошла в электронной информационно-образовательной среде СамГУПС, посредством которой была организована видеоконференцсвязь с участниками. Находясь дома, они включали вебкамеру, микрофон, свою презентацию и представляли свои работы. Жюри внимательно заслушивало и оценивало ребят, задавая очень интересные вопросы.;29.04.2020;https://www.samgups.ru/news/dni_studencheskoy_nauki_sektsiya_nauchnye_issledovaniya_u202chashchikhsya_shkol_/
В СамГУПС стартует видео-акция «Мы о войне стихами говорим»;Приглашаем студентов, преподавателей, сотрудников университета принять участие в творческой видео-акции «Мы о войне стихами говорим», посвященной 75-летию Великой Победы.;29.04.2020;https://www.samgups.ru/news/v_samgups_startuet_video_aktsiya_my_o_voyne_stikhami_govo2020rim/
